,model,year,price,transmission,mileage,engine size,mileage2,fuel type2,engine size2
10, C Class,2013,9995,Automatic,44900,160,46.3,Petrol,1.6
11, C Class,2012,6995,Automatic,88200,125,58.9,Diesel,2.1
12, C Class,2012,7495,Automatic,115000,145,54.3,Diesel,2.1
13, C Class,2011,8995,Automatic,69250,150,53.3,Diesel,2.1
14, C Class,2015,14995,Automatic,49850,30,62.8,Diesel,2.1
15, C Class,2013,8595,Automatic,82685,30,64.2,Diesel,2143.0
16, C Class,2016,19250,Semi-Auto,32506,125,60.1,Diesel,2.1
17, C Class,2017,23500,Semi-Auto,17000,145,67.3,Diesel,2.1
18, C Class,2018,24995,Semi-Auto,17744,150,64.2,Diesel,2.0
19, C Class,2016,29995,Semi-Auto,64291,305,34.5,Petrol,4.0
33, C Class,2014,17990,Automatic,41011,150,49.6,Petrol,1991.0
34, C Class,2016,14477,Automatic,72000,30,65.7,Diesel,1.6
35, C Class,2013,10977,Automatic,72000,145,54.3,Diesel,2.1
36, C Class,2016,17977,Automatic,40000,30,64.2,Diesel,1.6
57, C Class,2017,14488,Automatic,66472,30,64.2,Diesel,2.1
58, C Class,2011,7500,Manual,91000,125,60.1,Diesel,2.1
59, C Class,2013,9750,Automatic,69700,145,53.3,Diesel,2.1
60, C Class,2015,15995,Automatic,39000,30,64.2,Diesel,1600.0
61, C Class,2016,15675,Manual,39287,20,68.9,Diesel,2143.0
62, C Class,2016,16475,Manual,40569,20,68.9,Diesel,2143.0
63, C Class,2016,15975,Manual,37419,125,51.4,Petrol,1991.0
64, C Class,2016,16475,Automatic,34452,30,64.2,Diesel,2143.0
65, C Class,2015,15975,Automatic,41567,0,76.4,Hybrid,2143.0
66, C Class,2015,16495,Automatic,41130,0,134.5,Hybrid,1991.0
67, C Class,2017,17795,Automatic,37778,150,64.2,Diesel,2143.0
68, C Class,2017,17875,Automatic,44325,30,64.2,Diesel,2143.0
70, C Class,2017,16500,Automatic,75000,30,64.2,Diesel,1.6
72, C Class,2015,15500,Automatic,64000,30,64.2,Diesel,2.1
73, C Class,2013,7250,Manual,106000,30,64.2,Diesel,2.1
75, C Class,2012,11000,Automatic,43426,160,44.8,Petrol,1595.0
76, C Class,2016,13300,Manual,42622,20,70.6,Diesel,2143.0
77, C Class,2016,16000,Manual,34903,20,68.9,Diesel,2143.0
78, C Class,2014,12500,Automatic,35345,145,53.3,Diesel,2143.0
79, C Class,2015,14495,Manual,23146,115,52.3,Petrol,2000.0
80, C Class,2017,24500,Automatic,16000,145,65.7,Diesel,2.1
81, C Class,2013,23990,Automatic,44000,570,23.5,Petrol,6.2
82, C Class,2015,17250,Automatic,30000,30,64.2,Diesel,2.1
83, C Class,2015,14200,Automatic,22000,160,44.8,Petrol,1.6
84, C Class,2017,22950,Automatic,19000,150,47.1,Petrol,2.0
85, C Class,2013,10500,Automatic,90000,145,54.3,Diesel,2.1
86, C Class,2014,15650,Automatic,32000,20,64.2,Diesel,2.1
87, C Class,2015,14850,Automatic,90000,30,61.4,Diesel,2.1
89, C Class,2017,19950,Automatic,23000,145,61.4,Diesel,2.1
90, C Class,2014,9990,Automatic,78000,145,53.3,Diesel,2143.0
91, C Class,2015,11990,Automatic,47000,145,53.3,Diesel,2143.0
92, C Class,2017,20990,Automatic,18000,145,58.9,Diesel,2143.0
93, C Class,2015,14490,Automatic,64000,30,64.2,Diesel,2143.0
94, C Class,2013,10490,Automatic,50000,145,54.3,Diesel,2143.0
95, C Class,2016,15990,Automatic,65000,30,64.2,Diesel,2143.0
96, C Class,2016,17850,Automatic,38000,30,64.2,Diesel,2.1
97, C Class,2016,16450,Automatic,70000,30,64.2,Diesel,2.1
98, C Class,2013,11350,Automatic,69000,145,54.3,Diesel,2.1
99, C Class,2014,12900,Automatic,41000,160,44.8,Petrol,1.6
100, C Class,2018,26000,Automatic,16250,150,46.3,Petrol,1.5
103, C Class,2017,18999,Automatic,38000,0,134.5,Hybrid,2.0
106, C Class,2009,4343,Automatic,120000,205,45.6,Diesel,2145.0
121, C Class,2016,16500,Automatic,51936,30,64.2,Diesel,2143.0
122, C Class,2019,27750,Automatic,4000,145,56.5,Diesel,1950.0
123, C Class,2019,28950,Automatic,8500,145,54.3,Diesel,1950.0
124, C Class,2007,3495,Automatic,119168,300,33.6,Petrol,1796.0
161, C Class,2019,44990,Automatic,19999,145,28.5,Petrol,3982.0
162, C Class,2019,54990,Automatic,1600,150,28.5,Petrol,3982.0
163, C Class,2015,15995,Automatic,46221,20,64.2,Diesel,2143.0
170, C Class,2014,12998,Semi-Auto,52712,20,64.2,Diesel,2.1
171, C Class,2017,17998,Semi-Auto,59858,145,64.2,Diesel,2.1
172, C Class,2019,28998,Manual,22,145,48.7,Petrol,1.6
173, C Class,2017,24998,Semi-Auto,28234,160,43.5,Petrol,2.0
174, C Class,2016,19498,Semi-Auto,22803,30,61.4,Diesel,2.1
175, C Class,2018,23498,Semi-Auto,17093,145,67.3,Diesel,2.1
176, C Class,2019,25498,Semi-Auto,8150,145,60.1,Diesel,1.6
177, C Class,2019,24998,Semi-Auto,9344,145,55.4,Diesel,2.0
178, C Class,2016,18498,Semi-Auto,31891,0,134.5,Hybrid,2.0
179, C Class,2014,15498,Semi-Auto,36243,30,64.2,Diesel,2.1
180, C Class,2017,20995,Semi-Auto,33000,145,58.9,Diesel,2.1
181, C Class,2018,31995,Semi-Auto,11300,150,36.2,Petrol,3.0
182, C Class,2017,23995,Semi-Auto,32800,30,65.7,Diesel,2.1
183, C Class,2014,16995,Automatic,37600,30,64.2,Diesel,2.1
184, C Class,2017,24995,Automatic,14000,145,47.1,Petrol,2.0
185, C Class,2014,26998,Semi-Auto,24175,570,23.5,Petrol,6.2
186, C Class,2016,20498,Semi-Auto,27968,125,60.1,Diesel,2.1
187, C Class,2018,27498,Semi-Auto,9255,145,57.7,Diesel,2.0
188, C Class,2016,16998,Semi-Auto,26973,30,65.7,Diesel,1.6
189, C Class,2018,27498,Semi-Auto,12491,145,65.7,Diesel,2.1
190, C Class,2019,27698,Semi-Auto,14999,145,55.4,Diesel,2.0
191, C Class,2016,27498,Semi-Auto,37941,260,35.8,Petrol,3.0
192, C Class,2019,32498,Semi-Auto,11301,145,61.4,Diesel,2.0
193, C Class,2019,24498,Semi-Auto,12629,145,61.4,Diesel,2.1
194, C Class,2017,21498,Semi-Auto,20981,30,64.2,Diesel,2.1
195, C Class,2017,18998,Semi-Auto,23760,30,64.2,Diesel,2.1
196, C Class,2014,15998,Semi-Auto,26216,30,64.2,Diesel,2.1
197, C Class,2013,9298,Semi-Auto,80485,145,54.3,Diesel,2.1
198, C Class,2018,22998,Semi-Auto,18739,150,60.1,Diesel,2.1
199, C Class,2016,12998,Manual,53453,20,70.6,Diesel,2.1
200, C Class,2016,22998,Semi-Auto,23090,30,65.7,Diesel,2.1
201, C Class,2016,17998,Manual,26100,20,68.9,Diesel,2.1
202, C Class,2019,28498,Semi-Auto,4285,145,61.4,Diesel,2.0
203, C Class,2016,18998,Semi-Auto,28388,30,64.2,Diesel,1.6
204, C Class,2017,20998,Semi-Auto,16902,145,60.1,Diesel,2.1
205, C Class,2016,21998,Semi-Auto,31227,30,65.7,Diesel,2.1
206, C Class,2015,13998,Manual,24010,20,72.4,Diesel,1.6
207, C Class,2019,24498,Semi-Auto,15838,145,61.4,Diesel,2.0
209, C Class,2019,30498,Semi-Auto,4977,145,57.7,Diesel,2.0
210, C Class,2016,19498,Semi-Auto,24756,30,64.2,Diesel,2.1
211, C Class,2014,15298,Semi-Auto,41416,30,64.2,Diesel,2.1
212, C Class,2019,33998,Semi-Auto,3814,145,44.1,Petrol,1.5
213, C Class,2019,32998,Semi-Auto,17,145,46.3,Petrol,1.5
214, C Class,2016,16498,Semi-Auto,37080,20,64.2,Diesel,2.1
215, C Class,2016,15498,Semi-Auto,73582,30,61.4,Diesel,2.1
216, C Class,2014,15498,Semi-Auto,23772,20,64.2,Diesel,2.1
217, C Class,2017,18998,Semi-Auto,28808,145,61.4,Diesel,2.1
218, C Class,2019,24495,Semi-Auto,10000,145,61.4,Diesel,2.0
219, C Class,2016,18990,Semi-Auto,26413,20,64.2,Diesel,2.1
220, C Class,2014,10995,Manual,98000,20,68.9,Diesel,2.1
221, C Class,2014,15698,Semi-Auto,39920,30,64.2,Diesel,2.1
222, C Class,2019,22498,Semi-Auto,10455,145,46.3,Petrol,1.5
223, C Class,2016,19298,Semi-Auto,27644,30,64.2,Diesel,2.1
225, C Class,2018,19998,Semi-Auto,15383,145,46.3,Petrol,1.5
226, C Class,2018,20685,Semi-Auto,21929,145,64.2,Diesel,2.1
227, C Class,2018,20489,Semi-Auto,16900,145,61.4,Diesel,2.1
228, C Class,2017,13800,Manual,34015,145,70.6,Diesel,2.1
229, C Class,2019,31998,Semi-Auto,2000,145,42.2,Petrol,2.0
230, C Class,2019,29998,Semi-Auto,28000,145,44.1,Petrol,2.0
231, C Class,2019,24998,Semi-Auto,22400,145,44.1,Petrol,1.5
232, C Class,2019,32998,Semi-Auto,2878,145,42.2,Petrol,2.0
233, C Class,2019,32998,Semi-Auto,4500,145,42.2,Petrol,2.0
234, C Class,2019,29998,Semi-Auto,836,145,43.5,Petrol,2.0
235, C Class,2017,23998,Semi-Auto,14462,20,67.3,Diesel,2.1
236, C Class,2016,20998,Semi-Auto,23429,0,122.8,Hybrid,2.0
237, C Class,2017,16498,Automatic,20764,150,58.9,Diesel,2.1
238, C Class,2013,11998,Semi-Auto,31706,145,53.3,Diesel,2.1
239, C Class,2015,12495,Automatic,55000,30,64.2,Diesel,2.1
240, C Class,2019,19298,Automatic,10059,145,46.3,Petrol,1.5
241, C Class,2019,23998,Semi-Auto,10357,145,61.4,Diesel,2.0
242, C Class,2015,12495,Semi-Auto,50374,20,65.7,Diesel,2.1
243, C Class,2015,17498,Semi-Auto,42471,0,76.4,Hybrid,2.1
244, C Class,2016,16198,Manual,41974,20,68.9,Diesel,2.1
245, C Class,2017,18498,Semi-Auto,20618,30,64.2,Diesel,2.1
246, C Class,2019,24998,Semi-Auto,15536,145,47.1,Petrol,1.5
247, C Class,2019,24998,Semi-Auto,16103,145,47.1,Petrol,1.5
248, C Class,2019,21998,Semi-Auto,14576,145,46.3,Petrol,1.5
249, C Class,2018,29498,Semi-Auto,6198,145,54.3,Diesel,2.0
250, C Class,2018,29498,Semi-Auto,6265,145,54.3,Diesel,2.0
251, C Class,2016,16998,Semi-Auto,21786,20,65.7,Diesel,2.1
252, C Class,2019,33998,Semi-Auto,1558,145,44.1,Petrol,1.5
253, C Class,2019,32998,Semi-Auto,2258,145,46.3,Petrol,1.5
254, C Class,2017,18998,Semi-Auto,26866,30,64.2,Diesel,2.1
255, C Class,2019,32498,Semi-Auto,1887,145,46.3,Petrol,1.5
256, C Class,2017,25798,Semi-Auto,9676,145,65.7,Diesel,2.1
