,model,year,price,transmission,mileage,fuel type,engine size,mileage2,fuel type2,engine size2
0, C Class,2013,9995,Automatic,44900,29,160,46.3,Petrol,1.6
1, C Class,2012,6995,Automatic,88200,34,125,58.9,Diesel,2.1
2, C Class,2012,7495,Automatic,115000,37,145,54.3,Diesel,2.1
3, C Class,2011,8995,Automatic,69250,29,150,53.3,Diesel,2.1
4, C Class,2015,14995,Automatic,49850,31,30,62.8,Diesel,2.1
5, C Class,2013,8595,Automatic,82685,32,30,64.2,Diesel,2143.0
6, C Class,2016,19250,Semi-Auto,32506,38,125,60.1,Diesel,2.1
7, C Class,2017,23500,Semi-Auto,17000,33,145,67.3,Diesel,2.1
8, C Class,2014,17990,Automatic,41011,28,150,49.6,Petrol,1991.0
9, C Class,2016,14477,Automatic,72000,25,30,65.7,Diesel,1.6
10, C Class,2013,10977,Automatic,72000,38,145,54.3,Diesel,2.1
11, C Class,2016,17977,Automatic,40000,25,30,64.2,Diesel,1.6
12, C Class,2011,7500,Manual,91000,34,125,60.1,Diesel,2.1
13, C Class,2013,9750,Automatic,69700,36,145,53.3,Diesel,2.1
14, C Class,2015,15995,Automatic,39000,26,30,64.2,Diesel,1600.0
15, C Class,2016,15675,Manual,39287,31,20,68.9,Diesel,2143.0
16, C Class,2016,16475,Manual,40569,31,20,68.9,Diesel,2143.0
17, C Class,2017,17795,Automatic,37778,37,150,64.2,Diesel,2143.0
18, C Class,2017,16500,Automatic,75000,25,30,64.2,Diesel,1.6
19, C Class,2015,15500,Automatic,64000,32,30,64.2,Diesel,2.1
20, C Class,2012,11000,Automatic,43426,32,160,44.8,Petrol,1595.0
21, C Class,2016,13300,Manual,42622,30,20,70.6,Diesel,2143.0
22, C Class,2016,16000,Manual,34903,31,20,68.9,Diesel,2143.0
23, C Class,2014,12500,Automatic,35345,38,145,53.3,Diesel,2143.0
24, C Class,2015,14495,Manual,23146,31,115,52.3,Petrol,2000.0
25, C Class,2017,24500,Automatic,16000,38,145,65.7,Diesel,2.1
26, C Class,2013,23990,Automatic,44000,44,570,23.5,Petrol,6.2
27, C Class,2015,17250,Automatic,30000,37,30,64.2,Diesel,2.1
28, C Class,2015,14200,Automatic,22000,35,160,44.8,Petrol,1.6
29, C Class,2017,22950,Automatic,19000,32,150,47.1,Petrol,2.0
30, C Class,2013,10500,Automatic,90000,34,145,54.3,Diesel,2.1
31, C Class,2014,15650,Automatic,32000,31,20,64.2,Diesel,2.1
32, C Class,2017,19950,Automatic,23000,31,145,61.4,Diesel,2.1
33, C Class,2014,9990,Automatic,78000,43,145,53.3,Diesel,2143.0
34, C Class,2015,11990,Automatic,47000,43,145,53.3,Diesel,2143.0
35, C Class,2015,14490,Automatic,64000,31,30,64.2,Diesel,2143.0
36, C Class,2013,10490,Automatic,50000,38,145,54.3,Diesel,2143.0
37, C Class,2013,11350,Automatic,69000,38,145,54.3,Diesel,2.1
38, C Class,2014,12900,Automatic,41000,35,160,44.8,Petrol,1.6
39, C Class,2009,4343,Automatic,120000,37,205,45.6,Diesel,2145.0
40, C Class,2007,3495,Automatic,119168,26,300,33.6,Petrol,1796.0
41, C Class,2014,12998,Semi-Auto,52712,31,20,64.2,Diesel,2.1
42, C Class,2018,23498,Semi-Auto,17093,32,145,67.3,Diesel,2.1
43, C Class,2016,18498,Semi-Auto,31891,38,0,134.5,Hybrid,2.0
44, C Class,2014,15498,Semi-Auto,36243,32,30,64.2,Diesel,2.1
45, C Class,2017,23995,Semi-Auto,32800,38,30,65.7,Diesel,2.1
46, C Class,2014,16995,Automatic,37600,27,30,64.2,Diesel,2.1
47, C Class,2017,24995,Automatic,14000,33,145,47.1,Petrol,2.0
48, C Class,2014,26998,Semi-Auto,24175,44,570,23.5,Petrol,6.2
49, C Class,2016,20498,Semi-Auto,27968,38,125,60.1,Diesel,2.1
50, C Class,2016,16998,Semi-Auto,26973,25,30,65.7,Diesel,1.6
51, C Class,2018,27498,Semi-Auto,12491,38,145,65.7,Diesel,2.1
52, C Class,2014,15998,Semi-Auto,26216,34,30,64.2,Diesel,2.1
53, C Class,2013,9298,Semi-Auto,80485,38,145,54.3,Diesel,2.1
54, C Class,2016,12998,Manual,53453,30,20,70.6,Diesel,2.1
55, C Class,2016,22998,Semi-Auto,23090,37,30,65.7,Diesel,2.1
56, C Class,2016,17998,Manual,26100,31,20,68.9,Diesel,2.1
57, C Class,2016,18998,Semi-Auto,28388,26,30,64.2,Diesel,1.6
58, C Class,2017,20998,Semi-Auto,16902,31,145,60.1,Diesel,2.1
59, C Class,2016,21998,Semi-Auto,31227,37,30,65.7,Diesel,2.1
60, C Class,2015,13998,Manual,24010,25,20,72.4,Diesel,1.6
61, C Class,2014,15298,Semi-Auto,41416,31,30,64.2,Diesel,2.1
62, C Class,2014,15498,Semi-Auto,23772,31,20,64.2,Diesel,2.1
63, C Class,2017,18998,Semi-Auto,28808,31,145,61.4,Diesel,2.1
64, C Class,2016,18990,Semi-Auto,26413,37,20,64.2,Diesel,2.1
65, C Class,2014,10995,Manual,98000,31,20,68.9,Diesel,2.1
66, C Class,2014,15698,Semi-Auto,39920,34,30,64.2,Diesel,2.1
67, C Class,2016,19298,Semi-Auto,27644,37,30,64.2,Diesel,2.1
68, C Class,2018,20685,Semi-Auto,21929,32,145,64.2,Diesel,2.1
69, C Class,2018,20489,Semi-Auto,16900,31,145,61.4,Diesel,2.1
70, C Class,2017,13800,Manual,34015,30,145,70.6,Diesel,2.1
71, C Class,2017,23998,Semi-Auto,14462,32,20,67.3,Diesel,2.1
72, C Class,2016,20998,Semi-Auto,23429,39,0,122.8,Hybrid,2.0
73, C Class,2013,11998,Semi-Auto,31706,40,145,53.3,Diesel,2.1
74, C Class,2015,12495,Automatic,55000,30,30,64.2,Diesel,2.1
75, C Class,2015,12495,Semi-Auto,50374,30,20,65.7,Diesel,2.1
76, C Class,2015,17498,Semi-Auto,42471,37,0,76.4,Hybrid,2.1
77, C Class,2016,16198,Manual,41974,31,20,68.9,Diesel,2.1
78, C Class,2017,18498,Semi-Auto,20618,31,30,64.2,Diesel,2.1
79, C Class,2016,16998,Semi-Auto,21786,30,20,65.7,Diesel,2.1
80, C Class,2017,25798,Semi-Auto,9676,38,145,65.7,Diesel,2.1
81, C Class,2018,20498,Semi-Auto,7894,31,145,60.1,Diesel,2.1
82, C Class,2017,18498,Semi-Auto,26179,31,145,60.1,Diesel,2.1
83, C Class,2015,13498,Manual,38438,30,20,70.6,Diesel,2.1
